Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1998,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1998&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Lake Mead NRA,1,"417,899",20.32%
Backcountry Campers,Grand Canyon NP,2,"152,778",7.43%
Backcountry Campers,Olympic NP,3,"126,554",6.15%
Backcountry Campers,Great Smoky Mountains NP,4,"101,486",4.93%
Backcountry Campers,Yosemite NP,5,"87,601",4.26%
Backcountry Campers,Canyonlands NP,6,"69,452",3.38%
Backcountry Campers,Sequoia NP,7,"67,494",3.28%
Backcountry Campers,Kings Canyon NP,8,"61,782",3.00%
Backcountry Campers,Buffalo NR,9,"51,332",2.50%
Backcountry Campers,Mount Rainier NP,10,"48,093",2.34%
Backcountry Campers,Rocky Mountain NP,11,"46,162",2.24%
Backcountry Campers,Yellowstone NP,12,"45,614",2.22%
Backcountry Campers,Isle Royale NP,13,"44,426",2.16%
Backcountry Campers,Shenandoah NP,14,"43,574",2.12%
Backcountry Campers,Big Bend NP,15,"41,781",2.03%
Backcountry Campers,Delaware Water Gap NRA,16,"39,110",1.90%
Backcountry Campers,Denali NP & PRES,17,"37,504",1.82%
Backcountry Campers,Saint Croix NSR,18,"33,621",1.63%
Backcountry Campers,Dinosaur NM,19,"30,897",1.50%
Backcountry Campers,Grand Teton NP,20,"30,878",1.50%
Backcountry Campers,Glacier NP,21,"29,836",1.45%
Backcountry Campers,Glen Canyon NRA,22,"23,673",1.15%
Backcountry Campers,Point Reyes NS,23,"22,239",1.08%
Backcountry Campers,Padre Island NS,24,"22,008",1.07%
Backcountry Campers,Sleeping Bear Dunes NL,25,"20,760",1.01%
Backcountry Campers,Everglades NP,26,"19,975",0.97%
Backcountry Campers,North Cascades NP,27,"17,675",0.86%
Backcountry Campers,Voyageurs NP,28,"16,418",0.80%
Backcountry Campers,Ozark NSR,29,"15,721",0.76%
Backcountry Campers,Apostle Islands NL,30,"15,321",0.74%
Backcountry Campers,Big Cypress NPRES,31,"15,093",0.73%
Backcountry Campers,Yukon-Charley Rivers NPRES,32,"14,264",0.69%
Backcountry Campers,Ross Lake NRA,33,"13,688",0.67%
Backcountry Campers,Zion NP,34,"13,291",0.65%
Backcountry Campers,Pictured Rocks NL,35,"13,246",0.64%
Backcountry Campers,Gates of the Arctic NP & PRES,36,"12,485",0.61%
Backcountry Campers,Channel Islands NP,37,"11,314",0.55%
Backcountry Campers,Gateway NRA,38,"10,742",0.52%
Backcountry Campers,Lake Roosevelt NRA,39,"9,830",0.48%
Backcountry Campers,Lake Meredith NRA,40,"9,184",0.45%
Backcountry Campers,Cumberland Island NS,41,"7,895",0.38%
Backcountry Campers,Glacier Bay NP & PRES,42,"7,824",0.38%
Backcountry Campers,Joshua Tree NP,43,"7,800",0.38%
Backcountry Campers,Cape Lookout NS,44,"7,598",0.37%
Backcountry Campers,Lassen Volcanic NP,45,"7,401",0.36%
Backcountry Campers,Katmai NP & PRES,46,"6,667",0.32%
Backcountry Campers,Lake Chelan NRA,47,"6,141",0.30%
Backcountry Campers,Blue Ridge PKWY,48,"6,088",0.30%
Backcountry Campers,Klondike Gold Rush NHP Alaska,49,"5,590",0.27%
Backcountry Campers,Big South Fork NRRA,50,"5,245",0.26%
Backcountry Campers,Wrangell-St. Elias NP & PRES,51,"4,557",0.22%
Backcountry Campers,Mammoth Cave NP,52,"4,276",0.21%
Backcountry Campers,Gulf Islands NS,53,"4,221",0.21%
Backcountry Campers,Hawaii Volcanoes NP,54,"4,110",0.20%
Backcountry Campers,Chesapeake & Ohio Canal NHP,55,"4,052",0.20%
Backcountry Campers,Organ Pipe Cactus NM,56,"3,822",0.19%
Backcountry Campers,Rio Grande W&SR,57,"3,580",0.17%
Backcountry Campers,Guadalupe Mountains NP,58,"3,545",0.17%
Backcountry Campers,Amistad NRA,59,"3,189",0.16%
Backcountry Campers,Lake Clark NP & PRES,60,"3,008",0.15%
Backcountry Campers,Bryce Canyon NP,61,"2,557",0.12%
Backcountry Campers,Haleakala NP,62,"2,436",0.12%
Backcountry Campers,Canaveral NS,63,"2,311",0.11%
Backcountry Campers,Capitol Reef NP,64,"2,239",0.11%
Backcountry Campers,Cumberland Gap NHP,65,"2,171",0.11%
Backcountry Campers,Whiskeytown NRA,66,"1,999",0.10%
Backcountry Campers,Redwood NP,67,"1,988",0.10%
Backcountry Campers,Obed W&SR,68,"1,976",0.10%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",69,"1,911",0.09%
Backcountry Campers,Saguaro NP,70,"1,839",0.09%
Backcountry Campers,Assateague Island NS,71,"1,650",0.08%
Backcountry Campers,White Sands NM,72,"1,639",0.08%
Backcountry Campers,Bandelier NM,73,"1,591",0.08%
Backcountry Campers,Canyon de Chelly NM,74,"1,574",0.08%
Backcountry Campers,Black Canyon of the Gunnison NP,75,"1,493",0.07%
Backcountry Campers,Kenai Fjords NP,76,"1,487",0.07%
Backcountry Campers,Theodore Roosevelt NP,77,"1,482",0.07%
Backcountry Campers,Great Sand Dunes NP & PRES,78,"1,437",0.07%
Backcountry Campers,Crater Lake NP,79,"1,214",0.06%
Backcountry Campers,Big Thicket NPRES,80,"1,206",0.06%
Backcountry Campers,Bighorn Canyon NRA,81,"1,034",0.05%
Backcountry Campers,Curecanti NRA,82,998,0.05%
Backcountry Campers,Carlsbad Caverns NP,83,922,0.04%
Backcountry Campers,El Malpais NM,84,866,0.04%
Backcountry Campers,Badlands NP,85,862,0.04%
Backcountry Campers,Petrified Forest NP,86,761,0.04%
Backcountry Campers,Golden Gate NRA,87,721,0.04%
Backcountry Campers,Navajo NM,88,497,0.02%
Backcountry Campers,Arches NP,89,420,0.02%
Backcountry Campers,Great Basin NP,90,289,0.01%
Backcountry Campers,Wind Cave NP,91,277,0.01%
