name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lake Mead NRA,"372,770","341,213","222,882","267,006","342,984","324,222","374,216","414,082","374,294","389,948","414,963","403,080","504,972","470,131","567,076","538,681","446,349","410,290","436,536","417,899","372,427","338,955","288,659","256,990","219,601","228,067","211,364","223,785","222,774","199,921","196,480","180,643","180,339","170,771","170,413","168,814"
Yosemite NP,"72,901","139,288","140,221","125,557","101,017","111,788","111,390","105,614","105,103","102,610","102,695","102,133","121,913","119,700","124,821","132,804","110,700","107,182","113,982","87,601","87,189","106,266","100,207","125,027","85,674","82,259","70,803","81,305","76,576","137,330","158,233","125,136","103,420","168,783","172,353","190,339"
Sequoia NP,"75,002","146,317","99,097","86,633","92,883","105,027","78,304","81,218","92,547","82,844","69,459","77,221","70,291","97,141","83,180","88,465","67,020","62,913","60,767","67,494","76,718","65,865","88,986","59,577","75,687","24,815","18,118","21,659","20,644","23,681","36,238","21,594","22,210","21,969","26,631","29,013"
Kings Canyon NP,"98,697","137,636","92,294","81,894","103,033","97,636","73,582","74,032","85,204","77,904","64,143","69,202","65,050","89,208","77,229","83,523","62,982","54,392","54,058","61,782","72,314","59,701","81,057","54,484","64,369","15,002","12,793","15,697","11,760","14,180","14,309","15,203","11,186","12,121","13,303","15,603"
Olympic NP,"72,376","63,769","84,770","67,318","62,209","59,623","72,490","72,961","81,076","83,497","82,748","75,436","77,801","93,947","108,110","125,241","156,460","151,113","126,045","126,554","118,331","115,464","107,795","117,434","105,407","75,005","80,520","76,323","70,802","67,893","82,085","68,546","57,162","55,776","54,369","69,731"
Great Smoky Mountains NP,"80,970","81,500","79,227","73,697","68,712","64,365","65,493","68,375","76,714","72,152","69,228","77,061","77,207","90,027","96,459","87,120","101,872","102,022","106,244","101,486","92,994","80,654","76,919","77,816","73,124","73,787","69,985","70,193","70,215","71,381","79,182","79,480","90,444","84,236","70,407","86,153"
Canyonlands NP,"39,819","40,012","45,446","48,861","43,679","45,316","40,784","48,894","48,651","54,278","53,013","56,387","67,469","77,213","74,293","66,215","70,815","70,963","69,664","69,452","72,148","71,411","70,745","62,365","64,009","65,281","69,708","59,478","64,750","68,810","62,595","61,368","60,557","58,546","60,691","77,518"
Grand Canyon NP,"120,472","85,990","91,835","99,117","103,893","96,879","81,168","73,185","47,436","37,350","30,739","32,912","225,781","230,627","244,824","256,269","256,799","265,293","246,610","152,778","154,478","181,998","250,876","241,738","244,271","255,617","238,381","244,413","282,663","314,304","276,150","295,949","291,833","300,418","234,878","269,236"
Delaware Water Gap NRA,"39,815","58,124","59,184","59,918","53,232","46,428","45,156","44,089","47,184","45,827","41,160","43,681","53,253","54,642","51,816","57,069","39,115","39,044","41,639","39,110","43,768","44,865","45,575","45,312","45,312","45,318","45,322","51,227","37,584","52,758","53,352","53,512","63,249","52,002","54,402","52,701"
Big Bend NP,"33,927","38,863","40,564","46,979","45,073","46,668","39,140","41,886","43,294","45,654","39,052","40,179","40,476","42,465","50,193","54,110","48,407","32,373","44,786","41,781","40,059","32,675","28,826","30,418","29,399","29,720","28,239","22,668","21,146","19,306","20,727","22,712","16,254","15,648","19,378","24,723"
Saint Croix NSR,"7,606","5,340","23,511","37,570","45,284","37,096","42,016","35,099","42,434","48,403","49,467","31,846","33,312","34,466","30,530","31,904","30,771","29,474","24,258","33,621","27,297","23,968","31,451","33,996","32,555","37,521","90,971","82,689","85,873","83,631","88,928","25,884","29,738","31,233","33,420","90,041"
Shenandoah NP,"62,831","66,728","61,613","54,720","52,522","45,166","43,046","38,134","40,758","35,353","40,519","38,182","39,130","45,729","55,744","56,879","58,283","46,727","51,063","43,574","43,913","43,489","42,563","37,895","34,572","35,814","41,239","33,284","33,668","37,615","39,083","38,147","36,571","42,133","41,419","40,644"
Isle Royale NP,"21,144","28,043","37,853","35,929","35,221","30,864","32,262","33,228","33,251","31,807","33,977","37,489","38,148","39,663","40,690","43,673","45,564","46,625","42,112","44,426","44,028","40,157","49,077","40,389","40,069","36,706","36,889","35,439","35,400","32,289","28,864","34,116","34,221","33,808","32,343","29,662"
Yellowstone NP,"46,142","24,010","55,060","50,491","43,738","33,049","32,643","31,627","32,928","25,155","32,986","37,138","41,476","42,124","45,070","45,460","45,934","45,769","44,819","45,614","41,319","39,297","43,111","43,682","46,087","38,270","33,974","37,276","38,040","39,603","39,736","45,045","37,292","40,460","40,623","41,243"
Rocky Mountain NP,"56,560","57,465","53,928","44,714","42,023","34,714","36,241","35,056","32,704","34,413","32,792","35,501","39,172","42,066","43,558","52,061","38,638","42,394","41,420","46,162","41,417","40,528","41,285","39,178","36,012","23,928","33,745","35,227","36,078","47,701","31,912","33,405","31,216","29,558","29,870","34,321"
Mount Rainier NP,"36,931","28,446","35,663","33,203","29,636","26,143","29,094","27,948","31,992","29,433","27,402","35,540","35,383","40,509","41,842","48,574","42,767","40,336","39,508","48,093","42,967","58,882","64,362","49,955","64,110","63,777","43,759","29,517","24,523","39,576","43,083","40,731","39,907","45,565","45,975","48,679"
Denali NP & PRES,"29,531","30,334","28,160","27,812","29,625","26,722","26,029","27,999","28,962","29,460","34,113","35,918","29,798","38,262","33,010","41,455","34,500","37,188","39,224","37,504","36,026","32,579","35,301","24,115","33,170","34,016","30,833","28,623","30,919","31,621","29,855","38,625","39,914","41,685","37,862","38,443"
North Cascades NP,"33,510","33,179","39,494","32,460","26,765","22,123","20,635","25,764","25,211","25,284","26,344","25,162","16,514","15,753","15,763","17,090","18,136","16,797","16,593","17,675","15,460","18,575","16,243","17,414","17,753","15,311","15,537","15,965","15,836","15,233","14,558","17,801","17,002","19,360","20,295","21,547"
Dinosaur NM,"25,411","25,775","22,805","27,197","20,759","23,834","23,869","24,790","25,119","24,802","25,542","25,190","24,646","23,571","29,409","26,342","29,881","28,937","29,171","30,897","30,395","31,073","29,011","23,667","27,501","26,848","28,446","28,022","25,516","31,197","27,514","26,268","25,656","32,556","21,281","27,507"
Glen Canyon NRA,"725,302","644,419","685,504","784,748","879,992","348,356","48,413","30,098","24,164","25,642","26,960","23,978","16,902","19,581","124,350","28,891","20,164","19,630","18,081","23,673","25,211","23,377","32,799","25,492","37,718","42,752","28,368","20,115","24,694","16,873","55,036","40,419","59,582","79,661","50,992","62,367"
Point Reyes NS,"27,602","23,164","15,991","17,824","17,739","17,881","18,759","17,611","20,125","21,597","20,775","22,311","22,049","24,878","26,632","26,347","25,234","20,344","27,025","22,239","22,824","23,566","22,944","22,025","24,363","25,803","22,829","22,725","24,425","26,706","28,098","27,229","29,083","29,881","40,292","44,489"
Grand Teton NP,"24,558","23,375","24,259","18,893","27,168","24,060","23,425","22,047","19,099","22,988","20,827","23,307","27,114","29,860","25,667","37,265","19,557","28,750","31,354","30,878","32,169","32,332","32,700","31,975","12,949","27,752","22,424","26,858","29,906","27,521","30,731","30,597","28,216","30,214","30,157","29,524"
Ozark NSR,"50,809","57,299","56,249","51,283","59,970","63,604","57,641","55,479","18,219","21,662","23,893","30,030","22,534","9,421","11,502","12,477","11,148","11,778","14,137","15,721","27,231","21,621","19,090","11,208","11,645","8,463","17,753","18,441","15,195","14,729","17,165","16,733","17,382","17,036","12,658","13,073"
Glacier NP,"25,439","22,640","17,744","16,198","15,507","15,032","14,019","14,771","17,314","16,909","16,969","19,456","22,909","27,353","24,052","30,660","28,923","27,806","27,912","29,836","26,209","25,010","28,915","27,076","22,958","27,640","27,025","26,002","27,993","26,867","40,855","30,680","25,715","26,634","29,132","29,869"
Everglades NP,"17,909","11,192","20,771","15,945","10,130","13,454","13,207","13,894","14,475","8,015","7,068","10,204","12,813","12,471","14,679","15,436","13,168","15,679","17,785","19,975","20,237","19,868","23,411","22,997","22,485","18,744","15,436","9,610","12,075","17,090","13,062","12,991","11,546","8,456","6,437","5,875"
Amistad NRA,"17,757","20,828","24,989","26,211","26,509","22,441","17,152","16,639","14,446","16,396","18,654","3,324","3,541","5,011","5,200","4,006","2,793","2,098","3,392","3,189","2,969","7,152","4,947","2,821","2,714","3,427","2,581","2,861","2,626","3,658","2,949","2,473","2,113",-1,-1,-1
Sleeping Bear Dunes NL,"6,803","4,569","7,466","9,719","8,724","8,837","12,155","11,064","12,713","16,537","18,003","18,560","23,062","21,291","19,669","20,652","23,158","22,319","23,521","20,760","21,140","25,511","24,898","25,351","20,276","19,208","19,667","17,889","22,516","19,224","18,506","18,373","23,222","18,034","19,175","19,499"
Pictured Rocks NL,"8,854","9,270","8,938","9,320","14,007","13,269","11,128","8,913","9,029","9,448","10,418","10,331","11,218","10,357","9,277","11,219","13,566","11,647","12,355","13,246","13,173","13,849","13,773","15,952","12,904","11,929","11,497","12,399","15,055","13,786","13,688","14,725","15,657","14,850","15,710","17,702"
Lassen Volcanic NP,"11,462","11,266","12,306","10,002","8,669","8,089","8,480","7,599","7,995","7,030","7,014","9,139","8,440","7,052","7,266","8,077","6,089","8,219","7,493","7,401","7,471","6,635","8,452","8,786","6,139","5,434","5,485","5,083","5,413","5,733","5,798","6,006","6,104","4,173","5,905","5,898"
Zion NP,"8,964","11,200","15,406","7,403","6,896","7,462","7,435","7,807","7,707","7,538","10,620","10,910","13,140","14,726","15,394","14,425","20,138","18,384","19,237","13,291","13,614","19,720","28,142","28,767","26,368","23,027","20,603","29,028","27,446","35,746","41,933","36,544","40,344","48,932","54,336","23,257"
Noatak NPRES,-1,-1,-1,"8,940","3,635","6,510","5,850","4,140","6,855","5,902","3,429","2,529","3,033","2,776","4,763","4,735",-1,"4,744","4,744",-1,-1,-1,-1,20,30,-1,409,"1,061",542,710,"1,164",540,"4,677","9,600","4,775",-1
Cape Lookout NS,"3,103","5,063","3,461","5,146","3,286","4,335","9,007","9,269","6,312","6,205","7,387","8,111","9,538","6,444","6,255","6,941","8,395","6,386","6,753","7,598","8,989","8,988","11,190","9,007","6,799","13,200","8,906","8,626","11,849","12,162","8,841","11,346","14,033","9,803","4,733","2,593"
Voyageurs NP,"11,576","5,201","3,485","5,887","7,776","10,880","8,568","8,784","6,281","6,475","6,259","7,842","7,034","18,457","17,280","16,776","18,466","18,493","16,615","16,418","16,732","16,553","18,346","17,740","17,657","18,069","18,955","19,023","18,257","18,626","17,776","35,560","21,915","28,837","21,807","31,941"
Rio Grande W&SR,-1,-1,-1,-1,-1,-1,"5,652","6,467","5,406","6,510","5,215","4,394","5,182","6,943","3,295","5,595","3,947","4,069","3,454","3,580","5,412","4,123","5,651","3,028","3,165","4,125","2,336",953,"8,765","6,631","4,661","6,046","4,871","3,945","2,687","1,183"
