name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lake Mead NRA,"6,155,100","4,965,601","5,219,266","5,390,496","5,913,768","6,276,562","6,952,147","7,753,333","8,098,685","8,327,850","8,495,295","8,582,223","8,445,016","9,016,525","8,941,225","9,566,725","9,838,702","9,350,847","8,528,420","8,788,055","9,023,943","8,755,005","8,465,547","7,550,284","7,915,581","7,819,984","7,692,438","7,777,753","7,622,139","7,601,863","7,668,689","7,080,758","6,396,682","6,285,439","6,344,714","6,942,873","7,298,465"
Yosemite NP,"2,350,782","2,490,282","2,516,893","2,415,587","2,457,464","2,738,467","2,831,952","2,876,717","3,152,275","3,216,681","3,308,159","3,124,939","3,423,101","3,819,518","3,839,645","3,962,117","3,958,406","4,046,207","3,669,970","3,657,132","3,493,607","3,400,903","3,368,731","3,361,867","3,378,664","3,280,911","3,304,144","3,242,644","3,503,428","3,431,514","3,737,472","3,901,408","3,951,393","3,853,404","3,691,191","3,882,642","4,150,217"
Sequoia NP,"799,576","862,397","1,083,002","1,020,500","854,233","979,632","939,468","1,056,527","1,139,389","1,031,129","1,056,020","1,063,538","1,120,278","961,095","1,066,552","1,034,133","844,582","838,060","1,008,931","861,303","873,229","838,947","870,327","920,292","979,297","1,000,177","1,004,843","954,507","979,537","930,011","965,170","1,002,979","1,006,583","1,106,584","909,274","1,039,137","1,097,464"
Kings Canyon NP,"804,175","819,065","776,850","831,044","765,755","937,262","874,456","1,028,785","1,081,172","1,007,695","1,037,349","1,062,867","1,071,022","637,446","636,515","725,930","832,794","502,749","484,718","540,212","559,534","528,987","541,787","545,420","555,987","525,035","594,893","552,766","580,129","574,870","609,296","598,205","566,810","591,033","567,544","502,268","468,106"
Olympic NP,"2,078,843","2,032,418","2,306,032","2,478,739","2,410,722","2,759,011","2,532,145","2,940,034","2,822,850","2,959,122","2,737,611","2,794,903","2,759,673","3,030,195","2,679,598","3,381,573","3,658,615","3,348,723","3,846,709","3,577,007","3,364,266","3,327,722","3,416,069","3,691,310","3,225,327","3,073,722","3,142,774","2,749,197","2,988,686","3,081,451","3,276,459","2,844,563","2,966,502","2,824,908","3,085,340","3,243,872","3,263,761"
Great Smoky Mountains NP,"8,019,788","8,440,953","8,312,884","8,177,869","8,435,475","8,508,390","9,319,290","9,836,306","10,209,841","8,770,781","8,333,553","8,151,769","8,654,459","8,931,690","9,283,848","8,628,174","9,080,420","9,265,667","9,965,075","9,989,395","10,283,598","10,175,812","9,197,697","9,316,420","9,366,845","9,167,046","9,192,477","9,289,215","9,372,253","9,044,010","9,491,437","9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674"
Canyonlands NP,"74,545","56,505","89,915","97,079","100,022","102,533","116,672","172,987","172,384","212,100","257,411","276,831","339,315","395,698","434,844","429,921","448,769","447,527","432,697","436,524","446,160","401,558","368,592","367,078","386,986","371,706","393,381","392,537","417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607"
Grand Canyon NP,"2,131,716","2,304,973","2,472,270","2,293,127","2,248,082","2,173,584","2,711,529","3,035,787","3,513,030","3,859,886","3,966,209","3,776,685","3,886,031","4,203,545","4,575,602","4,364,316","4,557,645","4,537,703","4,791,668","4,239,682","4,575,124","4,460,228","4,104,809","4,001,974","4,124,900","4,326,234","4,401,522","4,279,439","4,413,668","4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736"
Delaware Water Gap NRA,"2,002,543","2,470,965","2,396,100","2,135,790","2,293,666","2,136,212","2,186,179","2,247,087","2,546,884","2,527,862","2,434,195","2,330,419","4,275,847","4,037,407","4,167,638","4,773,659","4,726,251","4,657,735","4,752,100","5,019,175","4,953,427","4,900,745","4,867,273","5,165,415","5,059,410","5,052,264","5,052,264","5,254,216","4,836,229","5,127,074","5,213,030","5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134"
Big Bend NP,"282,941","174,008","167,332","180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","257,378","296,470","294,535","327,907","330,417","295,460","279,454","305,882","338,442","327,649","262,320","328,927","327,747","312,384","357,723","398,583","298,717","364,856","362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747"
