name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lake Mead NRA,"356,516","404,187","497,040","535,233","445,464","373,153","390,266","421,964","388,210","398,762","421,642","431,439","348,070","341,618","330,161","268,615","259,303","154,444","147,382","158,018","164,410","145,644","125,403","144,356","131,924","121,621","112,049","135,100","138,932","161,358","153,616","150,578","145,038","139,601","132,587","144,364","140,395"
Yosemite NP,"273,374","380,094","340,229","339,074","334,009","407,930","378,557","284,479","393,694","437,244","401,996","333,886","355,184","374,632","313,560","332,916","292,708","302,072","276,228","248,116","192,596","197,404","195,916","206,128","220,764","201,836","201,504","203,252","206,000","214,360","212,244","265,920","226,304","260,136","241,656","166,744","284,372"
Sequoia NP,"92,107","96,022","100,193","91,293","55,850","78,498","65,435","57,518","74,287","56,399","54,127","55,692","60,445","56,465","49,764","48,098","42,673","39,511","60,360","30,013","37,272","38,252","33,884","26,009","16,265","31,030","31,128","28,207","28,984","27,294","29,952","33,696","28,914","28,297","29,947","34,902","39,448"
Kings Canyon NP,"83,371","85,485","92,848","69,442","66,500","87,220","70,031","76,707","87,653","71,433","67,446","79,121","62,776","54,142","46,565","46,173","43,343","39,574","42,568","34,828","37,192","31,634","30,265","29,707","28,751","26,032","32,123","29,532","32,954","35,710","32,897","37,422","30,611","33,044","29,558","25,783","24,531"
Olympic NP,"149,675","146,397","151,851","115,194","106,465","109,562","115,929","108,411","109,654","131,423","115,234","108,902","96,843","117,211","131,797","126,703","100,070","108,267","93,881","90,662","78,458","83,085","78,440","84,014","82,536","77,835","79,633","86,843","64,462","58,135","79,556","63,701","60,341","55,271","52,656","66,937","65,516"
Great Smoky Mountains NP,"215,495","207,223","210,194","220,041","158,027","186,801","184,692","185,274","183,141","190,092","176,792","166,774","170,014","163,033","140,896","153,733","166,249","143,769","142,872","141,109","133,961","128,172","125,147","129,195","126,815","122,959","120,448","120,825","134,112","118,981","134,115","128,991","108,732","118,522","103,881","113,373","117,177"
Canyonlands NP,"5,213","4,610","4,953","5,356","5,121","5,470","6,487","7,129","7,507","4,938","4,451","4,675","4,405","8,686","11,206","9,055","9,632","9,003","8,733","8,156","7,836","7,287","7,787","7,512","7,939","7,514","8,035","7,690","7,770","8,454","7,486","8,019","8,097","7,275","8,073","8,810","8,470"
Grand Canyon NP,"35,752","27,193","30,693","26,894","26,391","26,167","29,414","28,375","82,161","55,791","73,444","77,678","107,841","124,169","110,016","86,196","116,666","81,454","75,869","54,985","131,603","96,304","107,308","107,301","106,530","117,221","115,715","121,258","100,735","101,075","102,273","95,626","126,310","69,667","53,446","34,904","101,227"
Delaware Water Gap NRA,"39,815","58,124","59,184","59,918","53,232","46,428","45,156","44,089","47,184","45,827","41,160","43,681","53,253","54,642","51,816","57,069","39,115","39,044","41,639","39,110","43,768","44,865","45,575","45,312","45,312","45,318","45,322","51,227","37,584","52,758","53,352","53,512","63,249","52,002","54,402","52,701","51,998"
Big Bend NP,"44,730","34,886","41,333","41,320","50,647","53,255","56,425","50,206","52,534","41,516","37,142","38,301","36,662","43,392","48,613","44,060","40,416","36,265","37,775","37,472","35,919","34,261","32,493","34,607","25,630","33,921","29,739","29,546","27,400","24,361","24,039","24,522","19,139","22,916","21,962","21,990","24,420"
Saint Croix NSR,"7,606","5,340","23,511","37,570","45,284","37,096","42,016","35,099","42,434","48,403","49,467","31,846","33,312","34,466","30,530","31,904","30,771","29,474","24,258","33,621","27,297","23,968","31,451","33,996","32,555","37,521","90,971","82,689","85,873","83,631","88,928","25,884","29,738","31,233","33,420","90,041","93,629"
Shenandoah NP,"107,016","120,111","112,079","111,194","102,761","97,799","90,193","82,896","80,062","79,355","57,961","59,723","63,057","57,652","49,936","51,796","80,921","43,770","50,955","43,719","40,032","43,698","44,811","47,367","40,671","42,195","44,307","42,660","46,776","43,842","47,037","49,245","43,764","42,849","34,773","45,288","48,231"
Isle Royale NP,"27,140","19,740","6,870","5,985","6,665","6,118","6,433","5,918","6,292","5,932","6,446","6,981","6,902","7,397","8,058","8,665","8,178","8,343","6,882","7,748","7,096","7,200","6,731","5,720","5,545","4,887","4,928","5,230","5,135","5,096","4,551","5,502","5,130","5,463","5,289","5,758","5,133"
Yellowstone NP,"358,266","317,349","391,437","349,319","366,594","301,056","327,086","359,962","376,512","269,773","346,283","336,026","312,592","317,288","279,096","292,277","64,937","47,613","64,337","60,724","65,033","62,856","63,635","62,670","69,722","65,852","64,136","62,487","66,632","57,879","64,637","69,825","60,168","64,463","63,897","77,383","69,830"
