name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lake Mead NRA,"114,512","130,801","158,909","194,441","144,206","122,644","120,743","125,995","115,530","128,006","138,563","134,991","112,447","111,349","110,909","82,307","81,448","121,350","115,800","124,158","129,181","114,433","98,528","113,424","103,655","95,560","88,040","106,151","109,161","126,784","120,697","118,311","113,959","109,686","104,173","113,429"
Yosemite NP,"282,075","625,208","737,591","665,191","571,137","747,145","615,471","511,981","704,629","717,811","666,404","754,555","647,698","707,204","611,774","664,252","575,266","592,413","436,107","388,313","465,787","469,256","473,303","485,461","471,765","468,577","449,149","436,432","437,429","458,265","481,492","526,026","505,390","537,451","459,565","480,094"
Sequoia NP,"118,332","123,228","139,287","142,478","99,749","162,311","131,087","137,102","162,932","104,114","106,766","104,844","134,270","127,646","145,890","125,486","128,085","108,412","95,758","101,057","118,998","91,182","103,216","96,080","125,161","112,677","100,645","91,285","102,292","108,408","121,930","124,138","110,772","117,821","114,306","129,562"
Kings Canyon NP,"85,137","97,297","103,838","88,319","99,991","65,324","100,542","90,911","84,136","110,663","129,826","127,396","116,295","104,432","104,722","97,928","110,476","90,093","89,635","85,114","86,076","73,865","71,608","74,123","72,909","62,464","71,131","67,448","69,607","74,367","77,583","85,501","83,502","80,529","77,260","81,537"
Olympic NP,"118,208","123,771","120,620","92,335","85,380","86,373","105,022","102,246","108,171","115,779","119,391","124,536","118,191","162,516","151,391","200,028","128,309","106,085","128,710","136,541","121,635","127,116","123,847","130,001","121,964","113,158","110,320","97,272","101,792","92,314","105,808","90,477","101,249","90,876","110,015","140,112"
Great Smoky Mountains NP,"213,565","198,189","199,553","229,604","175,423","170,878","197,255","179,204","206,530","200,518","170,866","182,927","190,879","197,500","189,941","211,393","226,016","181,195","200,322","191,418","191,169","177,170","146,724","154,853","154,490","136,228","135,132","136,994","163,489","142,849","154,852","154,504","145,077","152,056","128,259","151,150"
Canyonlands NP,"7,223","7,333","9,431","11,470","12,240","13,261","14,605","17,299","17,549","11,820","10,317","9,873","12,035","19,742","22,690","21,024","20,825","19,212","20,573","21,759","22,251","21,310","19,287","16,907","16,888","16,504","15,335","15,413","13,444","14,633","14,424","13,730","15,797","14,846","13,013","14,892"
Grand Canyon NP,"111,022","88,032","80,264","86,137","77,627","80,172","58,216","61,133","118,826","92,728","131,910","135,457","142,087","132,523","165,120","165,609","148,025","151,166","142,959","130,594","178,966","159,360","170,219","166,098","164,143","161,427","149,193","140,507","141,786","141,971","148,065","155,038","206,850","150,673","111,229","73,502"
Delaware Water Gap NRA,"39,815","58,124","59,184","59,918","53,232","46,428","45,156","44,089","47,184","45,827","41,160","43,681","53,253","54,642","51,816","57,069","39,115","39,044","41,639","39,110","43,768","44,865","45,575","45,312","45,312","45,318","45,322","51,227","37,584","52,758","53,352","53,512","63,249","52,002","54,402","52,701"
Big Bend NP,"38,013","41,304","63,164","60,505","64,213","68,858","82,885","63,468","67,459","59,981","47,856","55,686","63,362","66,108","61,451","62,365","48,767","45,644","42,715","41,143","47,320","34,052","35,218","42,236","33,058","33,537","32,837","30,388","32,395","34,308","38,702","39,257","36,425","35,853","39,547","47,035"
