Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 1994,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=1994&RptField=BC

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Lake Mead NRA,1,"538,681",22.79%
Backcountry Campers,Grand Canyon NP,2,"256,269",10.84%
Backcountry Campers,Yosemite NP,3,"132,804",5.62%
Backcountry Campers,Olympic NP,4,"125,241",5.30%
Backcountry Campers,Sequoia NP,5,"88,465",3.74%
Backcountry Campers,Great Smoky Mountains NP,6,"87,120",3.69%
Backcountry Campers,Kings Canyon NP,7,"83,523",3.53%
Backcountry Campers,Canyonlands NP,8,"66,215",2.80%
Backcountry Campers,Delaware Water Gap NRA,9,"57,069",2.41%
Backcountry Campers,Shenandoah NP,10,"56,879",2.41%
Backcountry Campers,Big Bend NP,11,"54,110",2.29%
Backcountry Campers,Rocky Mountain NP,12,"52,061",2.20%
Backcountry Campers,Mount Rainier NP,13,"48,574",2.05%
Backcountry Campers,Yellowstone NP,14,"45,460",1.92%
Backcountry Campers,Isle Royale NP,15,"43,673",1.85%
Backcountry Campers,Denali NP & PRES,16,"41,455",1.75%
Backcountry Campers,Grand Teton NP,17,"37,265",1.58%
Backcountry Campers,Saint Croix NSR,18,"31,904",1.35%
Backcountry Campers,Glacier NP,19,"30,660",1.30%
Backcountry Campers,Glen Canyon NRA,20,"28,891",1.22%
Backcountry Campers,Point Reyes NS,21,"26,347",1.11%
Backcountry Campers,Dinosaur NM,22,"26,342",1.11%
Backcountry Campers,Padre Island NS,23,"21,992",0.93%
Backcountry Campers,Sleeping Bear Dunes NL,24,"20,652",0.87%
Backcountry Campers,Buffalo NR,25,"19,836",0.84%
Backcountry Campers,Lake Meredith NRA,26,"17,612",0.75%
Backcountry Campers,North Cascades NP,27,"17,090",0.72%
Backcountry Campers,Voyageurs NP,28,"16,776",0.71%
Backcountry Campers,Ross Lake NRA,29,"16,376",0.69%
Backcountry Campers,Everglades NP,30,"15,436",0.65%
Backcountry Campers,Zion NP,31,"14,425",0.61%
Backcountry Campers,Ozark NSR,32,"12,477",0.53%
Backcountry Campers,Pictured Rocks NL,33,"11,219",0.47%
Backcountry Campers,Big Cypress NPRES,34,"11,123",0.47%
Backcountry Campers,Apostle Islands NL,35,"10,958",0.46%
Backcountry Campers,Katmai NP & PRES,36,"10,422",0.44%
Backcountry Campers,Joshua Tree NP,37,"10,357",0.44%
Backcountry Campers,Lake Roosevelt NRA,38,"9,610",0.41%
Backcountry Campers,Cumberland Island NS,39,"9,014",0.38%
Backcountry Campers,Glacier Bay NP & PRES,40,"8,274",0.35%
Backcountry Campers,Lassen Volcanic NP,41,"8,077",0.34%
Backcountry Campers,Wrangell-St. Elias NP & PRES,42,"7,815",0.33%
Backcountry Campers,Blue Ridge PKWY,43,"7,493",0.32%
Backcountry Campers,Chesapeake & Ohio Canal NHP,44,"6,950",0.29%
Backcountry Campers,Cape Lookout NS,45,"6,941",0.29%
Backcountry Campers,Whiskeytown NRA,46,"6,170",0.26%
Backcountry Campers,Rio Grande W&SR,47,"5,595",0.24%
Backcountry Campers,Gates of the Arctic NP & PRES,48,"5,285",0.22%
Backcountry Campers,Big South Fork NRRA,49,"5,280",0.22%
Backcountry Campers,Noatak NPRES,50,"4,735",0.20%
Backcountry Campers,Organ Pipe Cactus NM,51,"4,362",0.18%
Backcountry Campers,Guadalupe Mountains NP,52,"4,115",0.17%
Backcountry Campers,Mammoth Cave NP,53,"4,018",0.17%
Backcountry Campers,Amistad NRA,54,"4,006",0.17%
Backcountry Campers,Black Canyon of the Gunnison NP,55,"3,865",0.16%
Backcountry Campers,Hawaii Volcanoes NP,56,"3,774",0.16%
Backcountry Campers,Lake Chelan NRA,57,"3,714",0.16%
Backcountry Campers,Bandelier NM,58,"3,440",0.15%
Backcountry Campers,Gulf Islands NS,59,"3,439",0.15%
Backcountry Campers,Klondike Gold Rush NHP Alaska,60,"3,296",0.14%
Backcountry Campers,Haleakala NP,61,"3,260",0.14%
Backcountry Campers,Bryce Canyon NP,62,"3,115",0.13%
Backcountry Campers,Lake Clark NP & PRES,63,"2,737",0.12%
Backcountry Campers,White Sands NM,64,"2,426",0.10%
Backcountry Campers,Yukon-Charley Rivers NPRES,65,"2,219",0.09%
Backcountry Campers,"John D. Rockefeller, Jr. MEM PKWY",66,"2,211",0.09%
Backcountry Campers,Big Thicket NPRES,67,"2,191",0.09%
Backcountry Campers,Canaveral NS,68,"2,122",0.09%
Backcountry Campers,Cumberland Gap NHP,69,"2,087",0.09%
Backcountry Campers,Assateague Island NS,70,"2,038",0.09%
Backcountry Campers,Capitol Reef NP,71,"1,951",0.08%
Backcountry Campers,Redwood NP,72,"1,730",0.07%
Backcountry Campers,Canyon de Chelly NM,73,"1,729",0.07%
Backcountry Campers,Crater Lake NP,74,"1,633",0.07%
Backcountry Campers,Theodore Roosevelt NP,75,"1,598",0.07%
Backcountry Campers,Channel Islands NP,76,"1,553",0.07%
Backcountry Campers,Saguaro NP,77,"1,501",0.06%
Backcountry Campers,Arches NP,78,"1,267",0.05%
Backcountry Campers,Great Sand Dunes NP & PRES,79,"1,210",0.05%
Backcountry Campers,Obed W&SR,80,"1,150",0.05%
Backcountry Campers,Aniakchak NM & PRES,81,993,0.04%
Backcountry Campers,Petrified Forest NP,82,907,0.04%
Backcountry Campers,Bighorn Canyon NRA,83,867,0.04%
Backcountry Campers,Navajo NM,84,729,0.03%
Backcountry Campers,Badlands NP,85,699,0.03%
Backcountry Campers,Curecanti NRA,86,687,0.03%
Backcountry Campers,Golden Gate NRA,87,619,0.03%
Backcountry Campers,El Malpais NM,88,581,0.02%
Backcountry Campers,Congaree NP,89,455,0.02%
Backcountry Campers,Wind Cave NP,90,297,0.01%
Backcountry Campers,Carlsbad Caverns NP,91,273,0.01%
Backcountry Campers,Great Basin NP,92,262,0.01%
Backcountry Campers,Kobuk Valley NP,93,256,0.01%
Backcountry Campers,Moores Creek NB,94,220,0.01%
Backcountry Campers,Cape Krusenstern NM,95,177,0.01%
Backcountry Campers,Santa Monica Mountains NRA,96,144,0.01%
Backcountry Campers,Catoctin Mountain Park,97,144,0.01%
Backcountry Campers,Wupatki NM,98,143,0.01%
Backcountry Campers,Grand Portage NM,99,142,0.01%
Backcountry Campers,Colorado NM,100,129,0.01%
Backcountry Campers,Craters of the Moon NM,101,121,0.01%
Backcountry Campers,Prince William Forest Park,102,93,0.00%
Backcountry Campers,Kings Mountain NMP,103,90,0.00%
Backcountry Campers,Kenai Fjords NP,104,44,0.00%

