Title1,Title1,Title2
Annual Park Ranking Report for Backcountry Campers in: 2015,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Backcountry Campers,Grand Canyon NP,1,"293,866",14.55%
Backcountry Campers,Yosemite NP,2,"211,966",10.49%
Backcountry Campers,Lake Mead NRA,3,"152,007",7.52%
Backcountry Campers,Great Smoky Mountains NP,4,"97,629",4.83%
Backcountry Campers,Saint Croix NSR,5,"93,629",4.63%
Backcountry Campers,Olympic NP,6,"88,587",4.39%
Backcountry Campers,Canyonlands NP,7,"74,388",3.68%
Backcountry Campers,Point Reyes NS,8,"55,475",2.75%
Backcountry Campers,Delaware Water Gap NRA,9,"51,998",2.57%
Backcountry Campers,Voyageurs NP,10,"50,462",2.50%
Backcountry Campers,Glen Canyon NRA,11,"47,378",2.35%
Backcountry Campers,Rocky Mountain NP,12,"46,301",2.29%
Backcountry Campers,Yellowstone NP,13,"44,898",2.22%
Backcountry Campers,Mount Rainier NP,14,"44,296",2.19%
Backcountry Campers,Shenandoah NP,15,"43,348",2.15%
Backcountry Campers,Denali NP & PRES,16,"35,785",1.77%
Backcountry Campers,Grand Teton NP,17,"33,798",1.67%
Backcountry Campers,Glacier NP,18,"32,797",1.62%
Backcountry Campers,Sequoia NP,19,"32,436",1.61%
Backcountry Campers,Big Bend NP,20,"32,435",1.61%
Backcountry Campers,Dinosaur NM,21,"30,490",1.51%
Backcountry Campers,Isle Royale NP,22,"30,072",1.49%
Backcountry Campers,Buffalo NR,23,"29,074",1.44%
Backcountry Campers,Zion NP,24,"24,655",1.22%
Backcountry Campers,North Cascades NP,25,"23,721",1.17%
Backcountry Campers,Channel Islands NP,26,"23,326",1.15%
Backcountry Campers,Ross Lake NRA,27,"21,668",1.07%
Backcountry Campers,Sleeping Bear Dunes NL,28,"21,327",1.06%
Backcountry Campers,Pictured Rocks NL,29,"19,680",0.97%
Backcountry Campers,Everglades NP,30,"15,961",0.79%
Backcountry Campers,Cape Lookout NS,31,"15,125",0.75%
Backcountry Campers,Joshua Tree NP,32,"14,141",0.70%
Backcountry Campers,Ozark NSR,33,"13,869",0.69%
Backcountry Campers,Padre Island NS,34,"13,615",0.67%
Backcountry Campers,Apostle Islands NL,35,"13,572",0.67%
Backcountry Campers,Big South Fork NRRA,36,"12,040",0.60%
Backcountry Campers,Kings Canyon NP,37,"10,765",0.53%
Backcountry Campers,Gates of the Arctic NP & PRES,38,"9,473",0.47%
Backcountry Campers,Lassen Volcanic NP,39,"9,170",0.45%
Backcountry Campers,Cumberland Island NS,40,"6,420",0.32%
Backcountry Campers,Glacier Bay NP & PRES,41,"6,254",0.31%
Backcountry Campers,Whiskeytown NRA,42,"5,539",0.27%
Backcountry Campers,Mammoth Cave NP,43,"5,036",0.25%
Backcountry Campers,Hawaii Volcanoes NP,44,"4,903",0.24%
Backcountry Campers,Lake Chelan NRA,45,"4,802",0.24%
Backcountry Campers,Klondike Gold Rush NHP Alaska,46,"4,559",0.23%
Backcountry Campers,Redwood NP,47,"4,394",0.22%
Backcountry Campers,Canaveral NS,48,"4,040",0.20%
Backcountry Campers,Great Sand Dunes NP & PRES,49,"3,754",0.19%
Backcountry Campers,White Sands NM,50,"3,516",0.17%
Backcountry Campers,Big Cypress NPRES,51,"3,264",0.16%
