Title1,Title1,Title2
Annual Park Ranking Report for Recreation Visitors in: 2008,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Recreation Visitors,Blue Ridge PKWY,1,"16,309,307",5.93%
Recreation Visitors,Golden Gate NRA,2,"14,554,750",5.30%
Recreation Visitors,Gateway NRA,3,"9,431,021",3.43%
Recreation Visitors,Great Smoky Mountains NP,4,"9,044,010",3.29%
Recreation Visitors,Lake Mead NRA,5,"7,601,863",2.77%
Recreation Visitors,George Washington MEM PKWY,6,"7,009,630",2.55%
Recreation Visitors,Natchez Trace PKWY,7,"5,747,235",2.09%
Recreation Visitors,Delaware Water Gap NRA,8,"5,127,074",1.87%
Recreation Visitors,Lincoln Memorial,9,"4,678,861",1.70%
Recreation Visitors,Cape Cod NS,10,"4,644,235",1.69%
Recreation Visitors,Grand Canyon NP,11,"4,425,314",1.61%
Recreation Visitors,Vietnam Veterans MEM,12,"4,243,573",1.54%
Recreation Visitors,World War II Memorial,13,"4,153,749",1.51%
Recreation Visitors,San Francisco Maritime NHP,14,"4,086,211",1.49%
Recreation Visitors,Independence NHP,15,"4,076,638",1.48%
Recreation Visitors,Castle Clinton NM,16,"3,727,030",1.36%
Recreation Visitors,Korean War Veterans Memorial,17,"3,654,976",1.33%
Recreation Visitors,Statue of Liberty NM,18,"3,555,244",1.29%
Recreation Visitors,Yosemite NP,19,"3,431,514",1.25%
Recreation Visitors,Colonial NHP,20,"3,332,039",1.21%
Recreation Visitors,Chesapeake & Ohio Canal NHP,21,"3,111,468",1.13%
Recreation Visitors,Olympic NP,22,"3,081,451",1.12%
Recreation Visitors,Yellowstone NP,23,"3,066,580",1.12%
Recreation Visitors,Cuyahoga Valley NP,24,"2,828,233",1.03%
Recreation Visitors,Chattahoochee River NRA,25,"2,826,171",1.03%
Recreation Visitors,Rocky Mountain NP,26,"2,757,390",1.00%
Recreation Visitors,Zion NP,27,"2,690,154",0.98%
Recreation Visitors,Franklin Delano Roosevelt MEM,28,"2,622,806",0.95%
Recreation Visitors,National Capital Parks Central,29,"2,559,653",0.93%
Recreation Visitors,Grand Teton NP,30,"2,485,987",0.90%
Recreation Visitors,Thomas Jefferson MEM,31,"2,363,263",0.86%
Recreation Visitors,Point Reyes NS,32,"2,248,203",0.82%
Recreation Visitors,Boston NHP,33,"2,232,495",0.81%
Recreation Visitors,Cape Hatteras NS,34,"2,146,392",0.78%
Recreation Visitors,Rock Creek Park,35,"2,076,466",0.76%
Recreation Visitors,Acadia NP,36,"2,075,857",0.76%
Recreation Visitors,Gulf Islands NS,37,"2,054,201",0.75%
Recreation Visitors,Assateague Island NS,38,"2,011,438",0.73%
Recreation Visitors,Amistad NRA,39,"1,980,717",0.72%
Recreation Visitors,Jefferson NEM,40,"1,954,810",0.71%
Recreation Visitors,Glen Canyon NRA,41,"1,947,507",0.71%
Recreation Visitors,Indiana Dunes NL,42,"1,833,596",0.67%
Recreation Visitors,Glacier NP,43,"1,808,027",0.66%
Recreation Visitors,Mount Rushmore NMEM,44,"1,789,328",0.65%
Recreation Visitors,Gettysburg NMP,45,"1,455,951",0.53%
Recreation Visitors,Kennesaw Mountain NBP,46,"1,415,917",0.52%
Recreation Visitors,World War II Valor in the Pacific NM,47,"1,407,879",0.51%
Recreation Visitors,Buffalo NR,48,"1,405,802",0.51%
Recreation Visitors,Joshua Tree NP,49,"1,392,446",0.51%
Recreation Visitors,Fort Point NHS,50,"1,390,187",0.51%
Recreation Visitors,Lake Roosevelt NRA,51,"1,337,024",0.49%
Recreation Visitors,San Antonio Missions NHP,52,"1,303,212",0.47%
Recreation Visitors,National Capital Parks East,53,"1,296,990",0.47%
Recreation Visitors,Valley Forge NHP,54,"1,275,871",0.46%
Recreation Visitors,Hawaii Volcanoes NP,55,"1,270,538",0.46%
Recreation Visitors,Ozark NSR,56,"1,243,507",0.45%
Recreation Visitors,Hot Springs NP,57,"1,238,147",0.45%
Recreation Visitors,Chickasaw NRA,58,"1,230,609",0.45%
Recreation Visitors,New River Gorge NR,59,"1,212,854",0.44%
Recreation Visitors,Haleakala NP,60,"1,185,068",0.43%
Recreation Visitors,President's Park,61,"1,178,845",0.43%
Recreation Visitors,Mount Rainier NP,62,"1,163,227",0.42%
Recreation Visitors,San Juan NHS,63,"1,135,577",0.41%
Recreation Visitors,"John D. Rockefeller, Jr. MEM PKWY",64,"1,099,060",0.40%
Recreation Visitors,Shenandoah NP,65,"1,075,878",0.39%
Recreation Visitors,Minute Man NHP,66,"1,067,578",0.39%
Recreation Visitors,Bryce Canyon NP,67,"1,043,321",0.38%
Recreation Visitors,Timucuan EHP,68,"1,038,888",0.38%
Recreation Visitors,Sleeping Bear Dunes NL,69,"1,008,135",0.37%
Recreation Visitors,Curecanti NRA,70,"1,007,444",0.37%
Recreation Visitors,Canaveral NS,71,"994,453",0.36%
Recreation Visitors,Chickamauga & Chattanooga NMP,72,"993,535",0.36%
Recreation Visitors,Klondike Gold Rush NHP Alaska,73,"935,940",0.34%
Recreation Visitors,Sequoia NP,74,"930,011",0.34%
Recreation Visitors,Arches NP,75,"928,795",0.34%
Recreation Visitors,Fort Vancouver NHS,76,"894,417",0.33%
Recreation Visitors,Lake Meredith NRA,77,"875,280",0.32%
Recreation Visitors,Death Valley NP,78,"871,938",0.32%
Recreation Visitors,Salem Maritime NHS,79,"856,935",0.31%
Recreation Visitors,Badlands NP,80,"845,734",0.31%
Recreation Visitors,Cumberland Gap NHP,81,"843,893",0.31%
Recreation Visitors,Muir Woods NM,82,"838,292",0.30%
Recreation Visitors,Canyon de Chelly NM,83,"835,860",0.30%
Recreation Visitors,Everglades NP,84,"822,118",0.30%
Recreation Visitors,Big Cypress NPRES,85,"813,790",0.30%
Recreation Visitors,Fort Matanzas NM,86,"813,131",0.30%
Recreation Visitors,Fort Sumter NM,87,"744,971",0.27%
Recreation Visitors,Cabrillo NM,88,"705,331",0.26%
Recreation Visitors,Saguaro NP,89,"699,137",0.25%
Recreation Visitors,Biscayne NP,90,"686,062",0.25%
Recreation Visitors,Whiskeytown NRA,91,"676,281",0.25%
Recreation Visitors,Big South Fork NRRA,92,"675,928",0.25%
Recreation Visitors,Washington Monument,93,"671,031",0.24%
Recreation Visitors,"Martin Luther King, Jr. NHS",94,"658,873",0.24%
Recreation Visitors,Padre Island NS,95,"635,925",0.23%
Recreation Visitors,Castillo de San Marcos NM,96,"618,769",0.23%
Recreation Visitors,Mojave NPRES,97,"618,285",0.22%
Recreation Visitors,Capitol Reef NP,98,"604,811",0.22%
Recreation Visitors,Fire Island NS,99,"604,577",0.22%
Recreation Visitors,Montezuma Castle NM,100,"603,755",0.22%
Recreation Visitors,Fort McHenry NM & HS,101,"598,050",0.22%
Recreation Visitors,Manassas NBP,102,"594,992",0.22%
Recreation Visitors,Kings Canyon NP,103,"574,870",0.21%
Recreation Visitors,Lowell NHP,104,"574,410",0.21%
Recreation Visitors,Wind Cave NP,105,"573,433",0.21%
Recreation Visitors,Vicksburg NMP,106,"555,109",0.20%
Recreation Visitors,Mesa Verde NP,107,"551,446",0.20%
Recreation Visitors,Petrified Forest NP,108,"543,714",0.20%
Recreation Visitors,Cedar Breaks NM,109,"538,016",0.20%
Recreation Visitors,Wright Brothers NMEM,110,"527,721",0.19%
Recreation Visitors,Saint Croix NSR,111,"523,595",0.19%
Recreation Visitors,White House,112,"519,011",0.19%
Recreation Visitors,Arlington House The R.E. Lee MEM,113,"518,515",0.19%
Recreation Visitors,Theodore Roosevelt NP,114,"516,804",0.19%
Recreation Visitors,Wolf Trap NP for the Performing Arts,115,"487,197",0.18%
Recreation Visitors,Cape Lookout NS,116,"486,899",0.18%
Recreation Visitors,Fort Washington Park,117,"484,202",0.18%
Recreation Visitors,Fredericksburg & Spotsylvania NMP,118,"473,841",0.17%
Recreation Visitors,Virgin Islands NP,119,"469,034",0.17%
Recreation Visitors,Catoctin Mountain Park,120,"466,926",0.17%
Recreation Visitors,Mammoth Cave NP,121,"446,174",0.16%
Recreation Visitors,White Sands NM,122,"438,511",0.16%
Recreation Visitors,Canyonlands NP,123,"436,715",0.16%
Recreation Visitors,Denali NP & PRES,124,"432,309",0.16%
Recreation Visitors,Santa Monica Mountains NRA,125,"419,374",0.15%
Recreation Visitors,Glacier Bay NP & PRES,126,"418,911",0.15%
Recreation Visitors,Crater Lake NP,127,"415,686",0.15%
Recreation Visitors,Pu'uhonua o Honaunau NHP,128,"414,667",0.15%
Recreation Visitors,LBJ Memorial Grove on the Potomac,129,"411,164",0.15%
Recreation Visitors,Carlsbad Caverns NP,130,"400,381",0.15%
Recreation Visitors,Pictured Rocks NL,131,"398,774",0.15%
Recreation Visitors,Redwood NP,132,"396,899",0.14%
Recreation Visitors,Colorado NM,133,"390,972",0.14%
Recreation Visitors,Lassen Volcanic NP,134,"377,361",0.14%
Recreation Visitors,Big Bend NP,135,"362,512",0.13%
Recreation Visitors,Vanderbilt Mansion NHS,136,"360,334",0.13%
Recreation Visitors,Shiloh NMP,137,"357,340",0.13%
Recreation Visitors,Guilford Courthouse NMP,138,"354,077",0.13%
Recreation Visitors,Fort Pulaski NM,139,"352,636",0.13%
Recreation Visitors,Antietam NB,140,"352,548",0.13%
Recreation Visitors,Prince William Forest Park,141,"345,361",0.13%
Recreation Visitors,Organ Pipe Cactus NM,142,"340,290",0.12%
Recreation Visitors,Jean Lafitte NHP & PRES,143,"339,821",0.12%
Recreation Visitors,Devils Tower NM,144,"336,303",0.12%
Recreation Visitors,Ford's Theatre NHS,145,"335,865",0.12%
Recreation Visitors,Lincoln Home NHS,146,"335,473",0.12%
Recreation Visitors,Channel Islands NP,147,"332,177",0.12%
Recreation Visitors,Piscataway Park,148,"324,394",0.12%
Recreation Visitors,Fort Raleigh NHS,149,"311,751",0.11%
Recreation Visitors,Upper Delaware S&RR,150,"284,347",0.10%
Recreation Visitors,Little Bighorn Battlefield NM,151,"282,233",0.10%
Recreation Visitors,New Bedford Whaling NHP,152,"281,512",0.10%
Recreation Visitors,Boston African American NHS,153,"280,279",0.10%
Recreation Visitors,Fort Caroline NMEM,154,"279,984",0.10%
Recreation Visitors,Morristown NHP,155,"277,203",0.10%
Recreation Visitors,Great Sand Dunes NP & PRES,156,"273,903",0.10%
Recreation Visitors,Kenai Fjords NP,157,"272,190",0.10%
Recreation Visitors,De Soto NMEM,158,"265,944",0.10%
Recreation Visitors,San Juan Island NHP,159,"255,492",0.09%
Recreation Visitors,Kings Mountain NMP,160,"254,997",0.09%
Recreation Visitors,Harpers Ferry NHP,161,"254,162",0.09%
Recreation Visitors,Ross Lake NRA,162,"253,333",0.09%
Recreation Visitors,Fort Frederica NM,163,"248,093",0.09%
Recreation Visitors,Adams NHP,164,"241,536",0.09%
Recreation Visitors,Sitka NHP,165,"241,407",0.09%
Recreation Visitors,Pennsylvania Avenue NHS,166,"239,785",0.09%
Recreation Visitors,Wupatki NM,167,"239,157",0.09%
Recreation Visitors,Cowpens NB,168,"235,176",0.09%
Recreation Visitors,Natchez NHP,169,"232,470",0.08%
Recreation Visitors,Lewis & Clark NHP,170,"230,057",0.08%
Recreation Visitors,Craters of the Moon NM,171,"227,179",0.08%
Recreation Visitors,Voyageurs NP,172,"221,585",0.08%
Recreation Visitors,Federal Hall NMEM,173,"212,564",0.08%
Recreation Visitors,Sunset Crater Volcano NM,174,"209,399",0.08%
Recreation Visitors,Fort Donelson NB,175,"208,631",0.08%
Recreation Visitors,Bandelier NM,176,"207,656",0.08%
Recreation Visitors,Nez Perce NHP,177,"207,250",0.08%
Recreation Visitors,Governors Island NM,178,"205,010",0.07%
Recreation Visitors,Dinosaur NM,179,"201,724",0.07%
Recreation Visitors,Abraham Lincoln Birthplace NHP,180,"200,404",0.07%
Recreation Visitors,Stones River NB,181,"198,918",0.07%
Recreation Visitors,Chamizal NMEM,182,"197,767",0.07%
Recreation Visitors,Little River Canyon NPRES,183,"197,693",0.07%
Recreation Visitors,Obed W&SR,184,"192,154",0.07%
Recreation Visitors,War in the Pacific NHP,185,"187,005",0.07%
Recreation Visitors,Appomattox Court House NHP,186,"178,748",0.07%
Recreation Visitors,Bighorn Canyon NRA,187,"178,533",0.06%
Recreation Visitors,Pinnacles NP,188,"166,988",0.06%
Recreation Visitors,Greenbelt Park,189,"164,103",0.06%
Recreation Visitors,Guadalupe Mountains NP,190,"163,709",0.06%
Recreation Visitors,Apostle Islands NL,191,"162,871",0.06%
Recreation Visitors,Missouri NRR,192,"162,086",0.06%
Recreation Visitors,Black Canyon of the Gunnison NP,193,"160,185",0.06%
Recreation Visitors,Andersonville NHS,194,"159,592",0.06%
Recreation Visitors,Perry's Victory & Intl. Peace MEM,195,"157,337",0.06%
Recreation Visitors,Petersburg NB,196,"154,003",0.06%
Recreation Visitors,Lincoln Boyhood NMEM,197,"147,123",0.05%
Recreation Visitors,Herbert Hoover NHS,198,"142,656",0.05%
Recreation Visitors,Flight 93 NMEM,199,"136,091",0.05%
Recreation Visitors,Johnstown Flood NMEM,200,"135,308",0.05%
Recreation Visitors,Devils Postpile NM,201,"134,005",0.05%
Recreation Visitors,Fort Necessity NB,202,"127,672",0.05%
Recreation Visitors,Home of Franklin D. Roosevelt NHS,203,"124,073",0.05%
Recreation Visitors,Timpanogos Cave NM,204,"123,682",0.04%
Recreation Visitors,Richmond NBP,205,"120,823",0.04%
Recreation Visitors,Wilson's Creek NB,206,"120,670",0.04%
Recreation Visitors,Lava Beds NM,207,"120,076",0.04%
Recreation Visitors,Petroglyph NM,208,"116,620",0.04%
Recreation Visitors,El Malpais NM,209,"115,066",0.04%
Recreation Visitors,Allegheny Portage Railroad NHS,210,"113,991",0.04%
Recreation Visitors,George Rogers Clark NHP,211,"113,688",0.04%
Recreation Visitors,John Day Fossil Beds NM,212,"112,578",0.04%
Recreation Visitors,Gauley River NRA,213,"112,262",0.04%
Recreation Visitors,Scotts Bluff NM,214,"111,849",0.04%
Recreation Visitors,Theodore Roosevelt Island,215,"109,156",0.04%
Recreation Visitors,Christiansted NHS,216,"105,136",0.04%
Recreation Visitors,Congaree NP,217,"104,913",0.04%
Recreation Visitors,Kaloko Honokohau NHP,218,"104,835",0.04%
Recreation Visitors,Tuzigoot NM,219,"102,811",0.04%
Recreation Visitors,Ocmulgee NM,220,"102,631",0.04%
Recreation Visitors,Walnut Canyon NM,221,"101,833",0.04%
Recreation Visitors,Jewel Cave NM,222,"100,481",0.04%
Recreation Visitors,George Washington Birthplace NM,223,"99,975",0.04%
Recreation Visitors,Rainbow Bridge NM,224,"95,567",0.03%
Recreation Visitors,Big Thicket NPRES,225,"93,634",0.03%
Recreation Visitors,Lyndon B. Johnson NHP,226,"93,204",0.03%
Recreation Visitors,Pu'ukohola Heiau NHS,227,"92,584",0.03%
Recreation Visitors,Natural Bridges NM,228,"91,838",0.03%
Recreation Visitors,General Grant NMEM,229,"91,436",0.03%
Recreation Visitors,Coronado NMEM,230,"91,028",0.03%
Recreation Visitors,Saratoga NHP,231,"88,834",0.03%
Recreation Visitors,City of Rocks NRES,232,"85,893",0.03%
Recreation Visitors,Cumberland Island NS,233,"82,812",0.03%
Recreation Visitors,Jimmy Carter NHS,234,"82,417",0.03%
Recreation Visitors,Pipestone NM,235,"80,137",0.03%
Recreation Visitors,Manzanar NHS,236,"78,468",0.03%
Recreation Visitors,Grand Portage NM,237,"77,323",0.03%
Recreation Visitors,Fort Smith NHS,238,"75,174",0.03%
Recreation Visitors,Navajo NM,239,"74,143",0.03%
Recreation Visitors,Oregon Caves NM,240,"73,774",0.03%
Recreation Visitors,Casa Grande Ruins NM,241,"73,763",0.03%
Recreation Visitors,Homestead NM of America,242,"71,314",0.03%
Recreation Visitors,Fort Stanwix NM,243,"71,263",0.03%
Recreation Visitors,Steamtown NHS,244,"71,123",0.03%
Recreation Visitors,Eisenhower NHS,245,"70,757",0.03%
Recreation Visitors,Niobrara NSR,246,"70,270",0.03%
Recreation Visitors,Andrew Johnson NHS,247,"69,433",0.03%
Recreation Visitors,Great Basin NP,248,"69,235",0.03%
Recreation Visitors,Effigy Mounds NM,249,"68,696",0.02%
Recreation Visitors,Pea Ridge NMP,250,"68,464",0.02%
Recreation Visitors,New Orleans Jazz NHP,251,"66,726",0.02%
Recreation Visitors,Wrangell-St. Elias NP & PRES,252,"65,693",0.02%
Recreation Visitors,Dry Tortugas NP,253,"63,947",0.02%
Recreation Visitors,Tonto NM,254,"63,553",0.02%
Recreation Visitors,Hubbell Trading Post NHS,255,"61,955",0.02%
Recreation Visitors,Kalaupapa NHP,256,"60,934",0.02%
Recreation Visitors,Longfellow NHS,257,"59,827",0.02%
Recreation Visitors,Klondike Gold Rush NHP Seattle,258,"58,389",0.02%
Recreation Visitors,Ninety Six NHS,259,"57,304",0.02%
Recreation Visitors,Florissant Fossil Beds NM,260,"56,988",0.02%
Recreation Visitors,Chiricahua NM,261,"56,557",0.02%
Recreation Visitors,Big Hole NB,262,"54,818",0.02%
Recreation Visitors,Sagamore Hill NHS,263,"53,772",0.02%
Recreation Visitors,Eleanor Roosevelt NHS,264,"53,632",0.02%
Recreation Visitors,Whitman Mission NHS,265,"53,356",0.02%
Recreation Visitors,Dayton Aviation Heritage NHP,266,"53,292",0.02%
Recreation Visitors,Tuskegee Institute NHS,267,"52,027",0.02%
Recreation Visitors,Horseshoe Bend NMP,268,"50,719",0.02%
Recreation Visitors,Tuskegee Airmen NHS,269,"50,331",0.02%
Recreation Visitors,Hopewell Furnace NHS,270,"49,328",0.02%
Recreation Visitors,Fort Davis NHS,271,"49,290",0.02%
Recreation Visitors,Fort Laramie NHS,272,"48,297",0.02%
Recreation Visitors,Pipe Spring NM,273,"47,418",0.02%
Recreation Visitors,Bluestone NSR,274,"46,942",0.02%
Recreation Visitors,Roger Williams NMEM,275,"46,154",0.02%
Recreation Visitors,Buck Island Reef NM,276,"46,025",0.02%
Recreation Visitors,Ulysses S. Grant NHS,277,"45,959",0.02%
Recreation Visitors,Capulin Volcano NM,278,"45,178",0.02%
Recreation Visitors,El Morro NM,279,"45,178",0.02%
Recreation Visitors,Tumacacori NHP,280,"45,079",0.02%
Recreation Visitors,Palo Alto Battlefield NHP,281,"45,026",0.02%
Recreation Visitors,Moores Creek NB,282,"44,820",0.02%
Recreation Visitors,Charles Pinckney NHS,283,"44,072",0.02%
