Title1,Title1,Title2
Annual Park Ranking Report for RV Campers in: 1985,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
RV Campers,Lake Mead NRA,1,"390,266",10.38%
RV Campers,Yosemite NP,2,"378,557",10.07%
RV Campers,Yellowstone NP,3,"327,086",8.70%
RV Campers,Death Valley NP,4,"257,076",6.84%
RV Campers,Great Smoky Mountains NP,5,"184,692",4.91%
RV Campers,Olympic NP,6,"115,929",3.08%
RV Campers,Curecanti NRA,7,"98,373",2.62%
RV Campers,Blue Ridge PKWY,8,"96,591",2.57%
RV Campers,Glacier NP,9,"95,669",2.54%
RV Campers,Shenandoah NP,10,"90,193",2.40%
RV Campers,Gulf Islands NS,11,"85,577",2.28%
RV Campers,Glen Canyon NRA,12,"84,851",2.26%
RV Campers,Grand Teton NP,13,"82,905",2.21%
RV Campers,Zion NP,14,"74,800",1.99%
RV Campers,Kings Canyon NP,15,"70,031",1.86%
RV Campers,Joshua Tree NP,16,"68,195",1.81%
RV Campers,Rocky Mountain NP,17,"67,167",1.79%
RV Campers,Cape Hatteras NS,18,"66,832",1.78%
RV Campers,Sequoia NP,19,"65,435",1.74%
RV Campers,Mesa Verde NP,20,"65,092",1.73%
RV Campers,Lake Roosevelt NRA,21,"61,222",1.63%
RV Campers,Amistad NRA,22,"59,049",1.57%
RV Campers,Big Bend NP,23,"56,425",1.50%
RV Campers,Everglades NP,24,"55,098",1.47%
RV Campers,Acadia NP,25,"54,941",1.46%
RV Campers,Organ Pipe Cactus NM,26,"50,890",1.35%
RV Campers,Mount Rainier NP,27,"45,564",1.21%
RV Campers,Bryce Canyon NP,28,"43,898",1.17%
RV Campers,Ozark NSR,29,"42,283",1.12%
RV Campers,North Cascades NP,30,"37,623",1.00%
RV Campers,Denali NP & PRES,31,"36,652",0.97%
RV Campers,Grand Canyon NP,32,"29,414",0.78%
RV Campers,Greenbelt Park,33,"29,111",0.77%
RV Campers,Mammoth Cave NP,34,"25,804",0.69%
RV Campers,Sleeping Bear Dunes NL,35,"25,645",0.68%
RV Campers,Chickasaw NRA,36,"24,534",0.65%
RV Campers,Canyon de Chelly NM,37,"23,304",0.62%
RV Campers,Buffalo NR,38,"18,714",0.50%
RV Campers,Great Sand Dunes NP & PRES,39,"15,254",0.41%
RV Campers,Capitol Reef NP,40,"15,231",0.41%
RV Campers,Bighorn Canyon NRA,41,"15,160",0.40%
RV Campers,Whiskeytown NRA,42,"14,468",0.38%
RV Campers,Arches NP,43,"14,049",0.37%
RV Campers,Padre Island NS,44,"13,124",0.35%
RV Campers,Sunset Crater Volcano NM,45,"12,437",0.33%
RV Campers,Dinosaur NM,46,"12,190",0.32%
RV Campers,Hot Springs NP,47,"11,775",0.31%
RV Campers,Theodore Roosevelt NP,48,"11,415",0.30%
RV Campers,Lassen Volcanic NP,49,"10,586",0.28%
RV Campers,Natchez Trace PKWY,50,"10,156",0.27%
RV Campers,Badlands NP,51,"9,915",0.26%
RV Campers,Bandelier NM,52,"8,285",0.22%
RV Campers,Craters of the Moon NM,53,"8,210",0.22%
RV Campers,Colorado NM,54,"7,853",0.21%
RV Campers,Devils Tower NM,55,"7,629",0.20%
RV Campers,Chiricahua NM,56,"7,209",0.19%
RV Campers,Guadalupe Mountains NP,57,"6,948",0.18%
RV Campers,Canyonlands NP,58,"6,487",0.17%
RV Campers,Pictured Rocks NL,59,"5,616",0.15%
RV Campers,Wind Cave NP,60,"4,863",0.13%
RV Campers,Navajo NM,61,"4,806",0.13%
RV Campers,Assateague Island NS,62,"4,587",0.12%
RV Campers,Chaco Culture NHP,63,"4,207",0.11%
RV Campers,Prince William Forest Park,64,"4,177",0.11%
RV Campers,Cumberland Gap NHP,65,"3,933",0.10%
RV Campers,Hawaii Volcanoes NP,66,"2,688",0.07%
RV Campers,"John D. Rockefeller, Jr. MEM PKWY",67,"2,653",0.07%
RV Campers,Catoctin Mountain Park,68,"2,516",0.07%
RV Campers,Black Canyon of the Gunnison NP,69,"2,345",0.06%
RV Campers,Cedar Breaks NM,70,"2,250",0.06%
RV Campers,Hovenweep NM,71,"1,886",0.05%
RV Campers,Devils Postpile NM,72,"1,850",0.05%
RV Campers,Lava Beds NM,73,"1,481",0.04%
RV Campers,El Morro NM,74,"1,384",0.04%
RV Campers,Natural Bridges NM,75,"1,158",0.03%
RV Campers,Chesapeake & Ohio Canal NHP,76,971,0.03%
RV Campers,Klondike Gold Rush NHP Alaska,77,958,0.03%
RV Campers,Pinnacles NP,78,817,0.02%
RV Campers,John Day Fossil Beds NM,79,183,0.00%
RV Campers,Haleakala NP,80,96,0.00%

