Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 2000,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/System Wide Reports/Annual Park Ranking Report (1979 - Last Calendar Year)?RptYear=2000&RptField=TT

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"469,256",13.82%
Tent Campers,Great Smoky Mountains NP,2,"177,170",5.22%
Tent Campers,Grand Canyon NP,3,"159,360",4.69%
Tent Campers,Joshua Tree NP,4,"139,671",4.11%
Tent Campers,Olympic NP,5,"127,116",3.74%
Tent Campers,Lake Mead NRA,6,"114,433",3.37%
Tent Campers,Acadia NP,7,"114,033",3.36%
Tent Campers,Grand Teton NP,8,"109,062",3.21%
Tent Campers,Rocky Mountain NP,9,"98,700",2.91%
Tent Campers,Glacier NP,10,"94,007",2.77%
Tent Campers,Sequoia NP,11,"91,182",2.69%
Tent Campers,Zion NP,12,"87,428",2.57%
Tent Campers,Shenandoah NP,13,"86,025",2.53%
Tent Campers,Ozark NSR,14,"84,944",2.50%
Tent Campers,Yellowstone NP,15,"75,505",2.22%
Tent Campers,Kings Canyon NP,16,"73,865",2.18%
Tent Campers,Buffalo NR,17,"66,557",1.96%
Tent Campers,Mount Rainier NP,18,"65,085",1.92%
Tent Campers,Cape Hatteras NS,19,"57,471",1.69%
Tent Campers,Blue Ridge PKWY,20,"54,540",1.61%
Tent Campers,Death Valley NP,21,"54,375",1.60%
Tent Campers,Assateague Island NS,22,"52,629",1.55%
Tent Campers,Sleeping Bear Dunes NL,23,"45,591",1.34%
Tent Campers,Chickasaw NRA,24,"45,127",1.33%
Tent Campers,Lassen Volcanic NP,25,"44,091",1.30%
Tent Campers,Lake Roosevelt NRA,26,"39,526",1.16%
Tent Campers,Mammoth Cave NP,27,"37,196",1.10%
Tent Campers,Bryce Canyon NP,28,"36,285",1.07%
Tent Campers,Big Bend NP,29,"34,052",1.00%
Tent Campers,Gulf Islands NS,30,"32,673",0.96%
Tent Campers,Badlands NP,31,"30,205",0.89%
Tent Campers,Denali NP & PRES,32,"30,169",0.89%
Tent Campers,Mesa Verde NP,33,"28,114",0.83%
Tent Campers,Arches NP,34,"26,940",0.79%
Tent Campers,Canyonlands NP,35,"21,310",0.63%
Tent Campers,Curecanti NRA,36,"19,972",0.59%
Tent Campers,Ross Lake NRA,37,"19,678",0.58%
Tent Campers,Indiana Dunes NL,38,"18,997",0.56%
Tent Campers,Canyon de Chelly NM,39,"18,873",0.56%
Tent Campers,Great Sand Dunes NP & PRES,40,"18,438",0.54%
Tent Campers,Great Basin NP,41,"18,287",0.54%
Tent Campers,Haleakala NP,42,"18,226",0.54%
Tent Campers,Capitol Reef NP,43,"17,757",0.52%
Tent Campers,Everglades NP,44,"17,683",0.52%
Tent Campers,Dinosaur NM,45,"16,964",0.50%
Tent Campers,Greenbelt Park,46,"14,762",0.43%
Tent Campers,Lake Meredith NRA,47,"14,083",0.41%
Tent Campers,Padre Island NS,48,"13,741",0.40%
Tent Campers,Pictured Rocks NL,49,"13,121",0.39%
Tent Campers,Big South Fork NRRA,50,"12,936",0.38%
Tent Campers,Cumberland Island NS,51,"12,294",0.36%
Tent Campers,New River Gorge NR,52,"12,248",0.36%
Tent Campers,Chaco Culture NHP,53,"11,332",0.33%
Tent Campers,Colorado NM,54,"10,611",0.31%
Tent Campers,Redwood NP,55,"10,357",0.30%
Tent Campers,Theodore Roosevelt NP,56,"10,176",0.30%
Tent Campers,Hawaii Volcanoes NP,57,"9,759",0.29%
Tent Campers,Guadalupe Mountains NP,58,"9,599",0.28%
Tent Campers,Catoctin Mountain Park,59,"8,247",0.24%
Tent Campers,Black Canyon of the Gunnison NP,60,"7,446",0.22%
Tent Campers,Isle Royale NP,61,"7,200",0.21%
Tent Campers,Glen Canyon NRA,62,"7,009",0.21%
Tent Campers,Natchez Trace PKWY,63,"6,999",0.21%
Tent Campers,Chesapeake & Ohio Canal NHP,64,"6,941",0.20%
Tent Campers,Prince William Forest Park,65,"6,908",0.20%
Tent Campers,Organ Pipe Cactus NM,66,"6,673",0.20%
Tent Campers,Dry Tortugas NP,67,"6,325",0.19%
Tent Campers,Big Cypress NPRES,68,"6,210",0.18%
Tent Campers,Fire Island NS,69,"5,780",0.17%
Tent Campers,Bandelier NM,70,"5,609",0.17%
Tent Campers,Wind Cave NP,71,"5,594",0.16%
Tent Campers,Craters of the Moon NM,72,"5,364",0.16%
Tent Campers,Chiricahua NM,73,"5,105",0.15%
Tent Campers,Devils Tower NM,74,"4,748",0.14%
Tent Campers,Bighorn Canyon NRA,75,"4,620",0.14%
Tent Campers,Natural Bridges NM,76,"4,299",0.13%
Tent Campers,Lava Beds NM,77,"4,107",0.12%
Tent Campers,Devils Postpile NM,78,"3,918",0.12%
Tent Campers,Cumberland Gap NHP,79,"3,676",0.11%
Tent Campers,Amistad NRA,80,"3,235",0.10%
Tent Campers,Golden Gate NRA,81,"3,184",0.09%
Tent Campers,Katmai NP & PRES,82,"3,084",0.09%
Tent Campers,Obed W&SR,83,"2,726",0.08%
Tent Campers,Gauley River NRA,84,"2,522",0.07%
Tent Campers,Crater Lake NP,85,"2,408",0.07%
Tent Campers,Cedar Breaks NM,86,"1,945",0.06%
Tent Campers,Mojave NPRES,87,"1,748",0.05%
Tent Campers,Hot Springs NP,88,"1,591",0.05%
Tent Campers,Navajo NM,89,"1,451",0.04%
Tent Campers,El Morro NM,90,"1,341",0.04%
Tent Campers,Kenai Fjords NP,91,"1,292",0.04%
Tent Campers,Klondike Gold Rush NHP Alaska,92,"1,047",0.03%
Tent Campers,Glacier Bay NP & PRES,93,971,0.03%
Tent Campers,Hovenweep NM,94,906,0.03%

