Title1,Title1,Title2
Annual Park Ranking Report for Tent Campers in: 2015,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

VisitorsLabel1,Field1,Field2,Field3,Field4
Tent Campers,Yosemite NP,1,"588,701",15.99%
Tent Campers,Joshua Tree NP,2,"222,184",6.04%
Tent Campers,Grand Canyon NP,3,"207,490",5.64%
Tent Campers,Great Smoky Mountains NP,4,"172,984",4.70%
Tent Campers,Acadia NP,5,"135,000",3.67%
Tent Campers,Sequoia NP,6,"133,833",3.64%
Tent Campers,Zion NP,7,"133,528",3.63%
Tent Campers,Rocky Mountain NP,8,"124,254",3.38%
Tent Campers,Olympic NP,9,"122,579",3.33%
Tent Campers,Shenandoah NP,10,"114,873",3.12%
Tent Campers,Glacier NP,11,"113,599",3.09%
Tent Campers,Lake Mead NRA,12,"110,311",3.00%
Tent Campers,Yellowstone NP,13,"104,149",2.83%
Tent Campers,Lassen Volcanic NP,14,"73,794",2.00%
Tent Campers,Kings Canyon NP,15,"73,622",2.00%
Tent Campers,Mount Rainier NP,16,"68,484",1.86%
Tent Campers,Death Valley NP,17,"64,718",1.76%
Tent Campers,Blue Ridge PKWY,18,"61,481",1.67%
Tent Campers,Ozark NSR,19,"55,552",1.51%
Tent Campers,Denali NP & PRES,20,"54,708",1.49%
Tent Campers,Big Bend NP,21,"53,963",1.47%
Tent Campers,Mesa Verde NP,22,"49,800",1.35%
Tent Campers,Sleeping Bear Dunes NL,23,"47,410",1.29%
Tent Campers,Chickasaw NRA,24,"45,209",1.23%
Tent Campers,Cape Hatteras NS,25,"44,863",1.22%
Tent Campers,Lake Roosevelt NRA,26,"44,359",1.21%
Tent Campers,Assateague Island NS,27,"38,328",1.04%
Tent Campers,Buffalo NR,28,"38,273",1.04%
Tent Campers,Bryce Canyon NP,29,"36,532",0.99%
Tent Campers,Mammoth Cave NP,30,"33,380",0.91%
Tent Campers,Gulf Islands NS,31,"33,061",0.90%
Tent Campers,Great Sand Dunes NP & PRES,32,"28,734",0.78%
Tent Campers,Arches NP,33,"27,158",0.74%
Tent Campers,Great Basin NP,34,"24,014",0.65%
Tent Campers,Ross Lake NRA,35,"21,460",0.58%
Tent Campers,Prince William Forest Park,36,"18,407",0.50%
Tent Campers,Capitol Reef NP,37,"18,334",0.50%
Tent Campers,Padre Island NS,38,"16,860",0.46%
Tent Campers,Dinosaur NM,39,"16,313",0.44%
Tent Campers,Pictured Rocks NL,40,"16,012",0.44%
Tent Campers,Indiana Dunes NL,41,"14,746",0.40%
Tent Campers,Curecanti NRA,42,"14,100",0.38%
Tent Campers,Theodore Roosevelt NP,43,"13,967",0.38%
Tent Campers,Canyonlands NP,44,"13,638",0.37%
Tent Campers,Cumberland Island NS,45,"13,622",0.37%
Tent Campers,Black Canyon of the Gunnison NP,46,"12,490",0.34%
Tent Campers,Everglades NP,47,"10,635",0.29%
Tent Campers,Colorado NM,48,"9,235",0.25%
Tent Campers,Guadalupe Mountains NP,49,"9,175",0.25%
Tent Campers,Devils Tower NM,50,"8,493",0.23%
Tent Campers,Catoctin Mountain Park,51,"7,945",0.22%
Tent Campers,Haleakala NP,52,"7,896",0.21%
Tent Campers,Greenbelt Park,53,"7,876",0.21%
Tent Campers,Craters of the Moon NM,54,"7,611",0.21%
Tent Campers,Lava Beds NM,55,"7,594",0.21%
Tent Campers,Crater Lake NP,56,"7,548",0.21%
Tent Campers,Chaco Culture NHP,57,"7,249",0.20%
Tent Campers,Chiricahua NM,58,"6,686",0.18%
Tent Campers,Gauley River NRA,59,"6,447",0.18%
Tent Campers,Big South Fork NRRA,60,"6,157",0.17%
Tent Campers,Glen Canyon NRA,61,"5,575",0.15%
Tent Campers,Lake Meredith NRA,62,"5,431",0.15%
Tent Campers,Natchez Trace PKWY,63,"5,190",0.14%
Tent Campers,Isle Royale NP,64,"5,133",0.14%
Tent Campers,Golden Gate NRA,65,"4,935",0.13%
Tent Campers,New River Gorge NR,66,"4,792",0.13%
Tent Campers,Hot Springs NP,67,"4,735",0.13%
Tent Campers,Organ Pipe Cactus NM,68,"4,689",0.13%
Tent Campers,Badlands NP,69,"4,627",0.13%
Tent Campers,Redwood NP,70,"4,554",0.12%
Tent Campers,Dry Tortugas NP,71,"4,546",0.12%
Tent Campers,Bandelier NM,72,"4,047",0.11%
Tent Campers,Natural Bridges NM,73,"4,023",0.11%
Tent Campers,Chesapeake & Ohio Canal NHP,74,"3,891",0.11%
Tent Campers,Bighorn Canyon NRA,75,"3,642",0.10%
Tent Campers,Devils Postpile NM,76,"3,068",0.08%
Tent Campers,Cumberland Gap NHP,77,"3,032",0.08%
Tent Campers,Obed W&SR,78,"2,928",0.08%
Tent Campers,Wind Cave NP,79,"2,420",0.07%
Tent Campers,Klondike Gold Rush NHP Alaska,80,"2,264",0.06%
Tent Campers,El Morro NM,81,"2,226",0.06%
Tent Campers,Katmai NP & PRES,82,"2,098",0.06%
Tent Campers,Biscayne NP,83,"1,860",0.05%
Tent Campers,Navajo NM,84,"1,836",0.05%
Tent Campers,Hawaii Volcanoes NP,85,"1,661",0.05%
Tent Campers,Big Cypress NPRES,86,"1,565",0.04%
Tent Campers,Kenai Fjords NP,87,"1,434",0.04%
Tent Campers,Hovenweep NM,88,"1,103",0.03%
Tent Campers,Cedar Breaks NM,89,802,0.02%
Tent Campers,Glacier Bay NP & PRES,90,658,0.02%
Tent Campers,Mojave NPRES,91,620,0.02%

