1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
76090000,77580000,79160000,80630000,82170000,83820000,85450000,87010000,88710000,90490000,92410000,93860000,95340000,97230000,99110000,100550000,101960000,103270000,103210000,104510000,106460000,108540000,110050000,111950000,114110000,115830000,117400000,119040000,120510000,121770000,123080000,124040000,124840000,125580000,126370000,127250000,128050000,128820000,129820000,130880000,132120000,133400000,134860000,136740000,138400000,139930000,141390000,144130000,146630000,149190000,152270000,154880000,157550000,160180000,163030000,165930000,168900000,171980000,174880000,177830000,180670000,183690000,186540000,189240000,191890000,194300000,196560000,198710000,200710000,202680000,205050000,207660000,209900000,211910000,213850000,215970000,218040000,220240000,222580000,225060000,227220000,229470000,231660000,233790000,235820000,237920000,240130000,242290000,244500000,246820000,249620000,252980000,256510000,259920000,263130000,266280000,269390000,272650000,275850000,279040000,282160000,284970000,287630000,290110000,292810000,295520000,298380000,301230000,304090000,306770000,308110000,310500000,312860000,315180000,317680000,320220000,321570000
0,1.9205980923,1.9959575543,1.8231427508,1.8741633199,1.968503937,1.9075482738,1.7928973681,1.9163566678,1.9670681843,2.0776972189,1.5448540379,1.5523389973,1.9438444924,1.896882252,1.4321233217,1.382895253,1.2685194151,-0.0581339018,1.2439001053,1.8316738681,1.9163442049,1.3721035893,1.6971862439,1.8929103497,1.4849348183,1.3373083475,1.377688172,1.2198157829,1.0347376201,1.0643483913,0.7739438891,0.6408202499,0.5892658067,0.6251483738,0.6915520629,0.6247559547,0.5977332712,0.7702973348,0.8099022005,0.9385407206,0.9595202399,1.0826041821,1.3748720199,1.1994219653,1.0934038448,1.0326048518,1.9010615417,1.7049716975,1.7159327033,2.022722795,1.6851756198,1.6947000952,1.6419028593,1.7481445133,1.7477249443,1.7584369449,1.7909059193,1.6582799634,1.6588877017,1.5719267172,1.6440742555,1.5278224509,1.4267596703,1.380999531,1.2403499743,1.1497761498,1.081978763,0.9964625579,0.9719755279,1.1558156547,1.2568621786,1.0671748452,0.9485158794,0.9071779285,0.9816178173,0.9493670886,0.9989102797,1.0513073951,1.1019283747,0.950620544,0.9805203295,0.9453509454,0.9110740408,0.8608260538,0.8826496301,0.9203348186,0.8914936646,0.9038854806,0.9399562434,1.1217049916,1.3281682346,1.3761646719,1.311942136,1.2199293125,1.1829652997,1.1544600765,1.1956721071,1.1600507522,1.1432052752,1.1057555997,0.986068709,0.9247992212,0.854848161,0.9220996551,0.9170276123,0.9585092835,0.9461209043,Err:509,0.873618672,0.4349096102,0.769726248,0.7543310107,0.7360873152,0.7869554268,0.7932046718,0.4198152813
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950620544,1.9218198457,2.849002849,3.7341203644,4.5628021372,5.4051782112,6.2757672927,7.1113128895,7.9509202454,8.8161413176,9.8389552119,11.0364455688,12.2607305758,13.4118190212,14.4681336222,15.4799459216,16.4556962025,17.4546121401,18.4121805329,19.344896789,20.2367451092,21.0232656069,21.7536418315,22.4225293854,23.1378709744,23.842717921,24.5726925397,25.2863260631,25.9890164096,26.6355901816,26.9546590503,27.5169082126,28.0636706514,28.5931848468,29.1551246537,29.7170695147,30.012127997
,1490000,1580000,1470000,1540000,1650000,1630000,1560000,1700000,1780000,1920000,1450000,1480000,1890000,1880000,1440000,1410000,1310000,-60000,1300000,1950000,2080000,1510000,1900000,2160000,1720000,1570000,1640000,1470000,1260000,1310000,960000,800000,740000,790000,880000,800000,770000,1000000,1060000,1240000,1280000,1460000,1880000,1660000,1530000,1460000,2740000,2500000,2560000,3080000,2610000,2670000,2630000,2850000,2900000,2970000,3080000,2900000,2950000,2840000,3020000,2850000,2700000,2650000,2410000,2260000,2150000,2000000,1970000,2370000,2610000,2240000,2010000,1940000,2120000,2070000,2200000,2340000,2480000,2160000,2250000,2190000,2130000,2030000,2100000,2210000,2160000,2210000,2320000,2800000,3360000,3530000,3410000,3210000,3150000,3110000,3260000,3200000,3190000,3120000,2810000,2660000,2480000,2700000,2710000,2860000,2850000,2860000,2680000,1340000,2390000,2360000,2320000,2500000,2540000,1350000
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160000,4410000,6600000,8730000,10760000,12860000,15070000,17230000,19440000,21760000,24560000,27920000,31450000,34860000,38070000,41220000,44330000,47590000,50790000,53980000,57100000,59910000,62570000,65050000,67750000,70460000,73320000,76170000,79030000,81710000,83050000,85440000,87800000,90120000,92620000,95160000,96510000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row #1,dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row #2,population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row #3,% change from previous year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row #4 ,% change since 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
